hcode,chwname,hospname,type,level,beds,pop_uc,service_group
10674,เชียงราย,รพ.เชียงรายประชานุเคราะห์,รพศ.,A,793,149576,รพศ.A B>700to1000
11189,เชียงราย,รพ.เทิง,รพช.,F1,87,59060,"รพช.F1 P50,000-100,000"
11190,เชียงราย,รพ.พาน,รพช.,M2,145,80101,รพช.M2 B>100
11191,เชียงราย,รพ.ป่าแดด,รพช.,F2,30,18097,"รพช.F2 P<=30,000"
11192,เชียงราย,รพ.แม่จัน,รพช.,M2,120,71142,รพช.M2 B>100
11193,เชียงราย,รพ.เชียงแสน,รพช.,F1,58,36248,"รพช.F1 P<=50,000"
11194,เชียงราย,รพ.แม่สาย,รพท.,M1,156,61324,รพท.M1 B>200
11195,เชียงราย,รพ.แม่สรวย,รพช.,F1,60,61595,"รพช.F1 P50,000-100,000"
11196,เชียงราย,รพ.เวียงป่าเป้า,รพช.,F1,81,48791,"รพช.F1 P<=50,000"
11197,เชียงราย,รพ.พญาเม็งราย,รพช.,F2,60,30653,"รพช.F2 P30,000-60,000"
11198,เชียงราย,รพ.เวียงแก่น,รพช.,F1,34,27564,"รพช.F1 P<=50,000"
11199,เชียงราย,รพ.ขุนตาล,รพช.,F2,30,20338,"รพช.F2 P<=30,000"
11200,เชียงราย,รพ.แม่ฟ้าหลวง,รพช.,F1,30,48241,"รพช.F1 P<=50,000"
11201,เชียงราย,รพ.แม่ลาว,รพช.,F2,30,20623,"รพช.F2 P<=30,000"
11202,เชียงราย,รพ.เวียงเชียงรุ้ง,รพช.,F2,30,21028,"รพช.F2 P<=30,000"
11454,เชียงราย,รพ.สมเด็จพระยุพราชเชียงของ,รพช.,M2,60,44072,รพช.M2 B<=100
15012,เชียงราย,รพ.สมเด็จพระญาณสังวร,รพช.,F1,53,31599,"รพช.F1 P<=50,000"
28823,เชียงราย,รพ.ดอยหลวง,รพช.,F3,11,14120,"รพช.F3 P<=15,000"
06009,เชียงใหม่,รพ.แม่ตื่น,รพช.,F3,16,13316,"รพช.F3 P<=15,000"
10713,เชียงใหม่,รพ.นครพิงค์,รพศ.,A,760,86520,รพศ.A B>700to1000
